Open_Time,Open,High,Low,Close,Volume,Number_Of_Trades
2025-01-30 20:00:00,105711.28,105821.62,104815.82,104907.15,1118.42753,267107
2025-01-30 21:00:00,104907.1,105217.17,104805.15,105048.89,488.85335,134442
2025-01-30 22:00:00,105048.89,105351.29,104962.11,105094.56,279.52567,62704
2025-01-30 23:00:00,105094.57,105254.0,104693.82,104722.94,395.49962,75973
2025-01-31 00:00:00,104722.94,105029.72,104400.0,104898.49,652.01906,139663
2025-01-31 01:00:00,104898.48,104908.15,104420.97,104729.58,393.75062,111819
2025-01-31 02:00:00,104729.95,104851.99,104255.01,104341.72,583.78993,85949
2025-01-31 03:00:00,104341.73,104377.76,103930.09,104344.46,880.98826,118671
2025-01-31 04:00:00,104344.46,104547.24,103972.13,104007.58,395.0513,85041
2025-01-31 05:00:00,104007.59,104484.09,104007.59,104319.87,359.47579,71380
2025-01-31 06:00:00,104319.87,104745.1,104298.73,104511.02,327.85317,86288
2025-01-31 07:00:00,104511.03,104814.46,104002.01,104188.56,786.55841,107011
2025-01-31 08:00:00,104188.57,104321.98,104013.63,104028.78,441.99171,91424
2025-01-31 09:00:00,104028.79,104329.73,103936.54,104256.56,677.9336,108248
2025-01-31 10:00:00,104256.57,104431.49,104080.1,104284.1,298.57773,70540
2025-01-31 11:00:00,104284.1,104848.65,104284.1,104736.0,574.30716,131830
2025-01-31 12:00:00,104736.01,104918.3,104553.71,104704.68,613.4883,110931
2025-01-31 13:00:00,104704.69,105036.03,104551.09,104664.02,660.0676,140853
2025-01-31 14:00:00,104664.01,104860.0,104106.0,104442.79,1064.61592,200285
2025-01-31 15:00:00,104443.99,106012.0,104443.99,105464.01,2491.4804,399838
2025-01-31 16:00:00,105464.0,105574.4,104696.23,105081.87,1251.1668,231952
2025-01-31 17:00:00,105081.86,105081.87,104542.0,104580.87,700.49821,167711
2025-01-31 18:00:00,104580.87,104820.0,102605.0,102627.29,2458.07389,496997
2025-01-31 19:00:00,102627.29,102844.88,102565.0,102822.41,119.81874,18022
